Date	Ping	Down	Up
20161230 06:30:00	14.332	91.34	28.18
20161230 07:00:00	10.687	90.77	29.59
20161230 07:30:00	14.27	91.84	26.58
20161230 08:00:00	14.015	91.42	31.70
20161230 08:30:00	14.234	91.55	27.39
20161230 09:00:00	10.546	89.86	29.23
20161230 09:30:00	10.648	91.59	23.72
20161230 10:00:00	13.6	86.76	25.45
20161230 10:30:00	10.519	86.07	28.57
20161230 11:00:00	13.917	85.02	28.03
20161230 11:30:00	8.822	87.74	30.00
20161230 12:00:00	14.755	87.82	28.67
20161230 12:30:00	11.207	89.08	24.97
20161230 13:00:00	163.92	90.20	29.92
20161230 13:30:00	10.763	90.99	28.17
20161230 14:00:00	10.816	87.49	28.97
20161230 14:30:00	10.627	91.83	30.50
20161230 15:00:00	11.02	81.16	30.53
20161230 15:30:00	11.529	84.37	28.26
20161230 16:00:00	14.193	88.52	27.02
20161230 16:30:01	15.067	88.19	26.05
20161230 17:00:00	11.027	91.75	31.17
20161230 17:30:00	11.073	90.83	29.37
20161230 18:00:00	10.87	87.49	29.85
20161230 18:30:00	15.045	90.10	27.97
20161230 19:00:01	14.012	91.45	28.62
20161230 19:30:00	10.687	90.95	26.99
20161230 20:00:00	15.4	89.49	28.64
20161230 20:30:00	10.962	86.61	29.64
20161230 21:00:00	14.316	90.01	28.98
20161230 21:30:01	26.449	72.49	18.13
20161230 22:00:00	31.951	81.70	28.42
20161230 22:30:01	9.356	90.44	26.62
20161230 23:00:00	13.069	88.27	28.17
20161230 23:30:00	14.07	90.18	24.76
20161231 00:00:00	10.897	91.59	28.11
20161231 00:30:00	22.214	90.92	29.41
20161231 01:00:00	10.563	90.66	25.61
20161231 01:30:00	9.53	91.65	30.38
20161231 02:00:00	13.967	88.69	30.15
20161231 02:30:00	10.623	90.73	30.14
20161231 03:00:00	15.842	89.98	28.60
20161231 03:30:00	11.072	91.87	30.57
20161231 04:00:00	15.025	91.63	26.57
20161231 04:30:00	14.397	91.66	28.51
20161231 05:00:00	10.655	90.85	26.78
20161231 05:30:00	14.707	89.86	28.59
20161231 06:00:00	10.589	91.02	29.64
20161231 06:30:01	14.132	91.39	26.10
20161231 07:00:00	10.798	91.41	27.23
20161231 07:30:00	11.043	91.44	27.30
20161231 08:00:00	13.737	89.13	27.54
20161231 08:30:00	13.909	91.49	30.30
20161231 09:00:01	14.176	91.51	29.16
20161231 09:30:00	10.877	90.03	29.13
20161231 10:00:00	14.335	91.59	27.79
20161231 10:30:00	14.223	92.24	26.46
20161231 11:00:00	111.171	87.45	27.31
20161231 11:30:01	10.597	89.35	29.19
20161231 12:00:00	14.724	91.16	28.17
20161231 12:30:00	10.901	86.81	26.25
20161231 13:00:00	14.611	82.57	27.80
20161231 13:30:00	11.191	84.96	25.75
20161231 14:00:01	14.457	87.54	30.33
20161231 14:30:01	10.771	87.31	29.35
20161231 15:00:01	14.505	90.98	27.34
20161231 15:30:01	10.775	91.43	29.59
20161231 16:00:00	15.143	90.26	27.76
20161231 16:30:00	10.629	92.15	27.68
20161231 17:00:01	14.576	89.92	27.31
20161231 17:30:00	14.063	92.18	28.71
20161231 18:00:00	10.568	88.93	30.07
20161231 18:30:00	14.946	90.49	26.92
20161231 19:00:00	9.385	91.50	29.65
20161231 19:30:00	15.138	90.07	24.11
20161231 20:00:00	14.627	86.79	27.96
20161231 20:30:00	15.451	86.96	28.94
20161231 21:00:00	14.674	87.10	27.74
20161231 21:30:00	10.623	89.70	28.38
20161231 22:00:00	14.861	90.77	29.91
20161231 22:30:00	10.845	91.68	26.76
20161231 23:00:00	14.887	90.08	29.05
20161231 23:30:00	14.846	90.17	25.64
20170101 00:00:00	12.362	90.63	27.07
20170101 00:30:00	14.931	90.25	28.50
20170101 01:00:00	10.721	91.54	28.22
20170101 01:30:00	15.456	89.97	26.05
20170101 02:00:00	14.664	87.61	28.82
20170101 02:30:00	15.3	88.28	27.93
20170101 03:00:01	10.024	90.86	29.95
20170101 03:30:00	15.336	90.59	28.88
20170101 04:00:00	10.536	90.79	26.89
20170101 04:30:00	16.205	89.66	27.58
20170101 05:00:00	10.89	90.17	28.72
20170101 05:30:00	15.435	89.31	27.29
20170101 06:00:00	14.369	88.96	26.99
20170101 06:30:00	10.545	91.80	30.33
20170101 07:00:00	14.115	90.50	27.61
20170101 07:30:00	10.591	91.84	27.31
20170101 08:00:00	15.238	90.87	27.41
20170101 08:30:00	10.616	89.65	28.69
20170101 09:00:01	10.605	90.29	27.41
20170101 09:30:00	10.645	88.82	27.71
20170101 10:00:00	11.304	91.35	29.26
20170101 10:30:00	13.931	90.48	25.50
20170101 11:00:01	10.548	89.91	31.15
20170101 11:30:00	14.355	92.31	24.66
20170101 12:00:00	10.731	90.77	30.59
20170101 12:30:00	15.574	90.14	29.72
20170101 13:00:00	10.603	91.91	27.13
20170101 13:30:00	13.658	88.29	29.12
20170101 14:00:00	14.431	89.03	28.35
20170101 14:30:01	19.713	85.29	28.19
20170101 15:00:00	10.76	86.90	28.77
20170101 15:30:00	13.734	88.66	28.78
20170101 16:00:00	10.678	90.82	25.39
20170101 16:30:00	14.592	90.27	28.11
20170101 17:00:00	10.895	90.68	25.86
20170101 17:30:00	15.473	90.56	30.60
20170101 18:00:00	10.927	89.88	25.25
20170101 18:30:00	15.685	90.16	30.96
20170101 19:00:00	10.75	83.19	26.97
20170101 19:30:00	9.922	90.30	29.69
20170101 20:00:00	14.919	80.03	23.13
20170101 20:30:00	80.96	59.64	12.71
20170101 21:00:00	93.406	41.37	13.93
20170101 21:30:00	93.496	49.85	10.60
20170101 22:00:00	119.126	45.62	15.26
20170101 22:30:00	47.818	58.58	22.23
20170101 23:00:00	44.213	69.85	25.32
20170101 23:30:00	14.201	90.84	28.17
20170102 00:00:01	10.975	91.44	26.63
20170102 00:30:00	17.563	90.64	29.21
20170102 01:00:00	9.907	92.26	26.69
20170102 01:30:00	15.149	92.06	28.01
20170102 02:00:00	14.093	88.13	30.12
20170102 02:30:00	14.247	91.46	27.92
20170102 03:00:00	10.412	90.04	30.54
20170102 03:30:00	14.467	91.28	26.54
20170102 04:00:00	13.99	90.53	28.45
20170102 04:30:01	14.622	87.03	25.63
20170102 05:00:00	10.905	92.03	28.54
20170102 05:30:00	13.702	90.34	26.88
20170102 06:00:01	10.636	90.72	29.40
20170102 06:30:00	14.69	88.93	28.93
20170102 07:00:00	14.202	90.57	29.55
20170102 07:30:00	14.046	91.22	28.72
20170102 08:00:00	10.603	90.81	27.67
20170102 08:30:00	13.869	90.92	30.47
20170102 09:00:00	10.37	89.95	28.51
20170102 09:30:00	13.371	90.98	28.61
20170102 10:00:01	10.711	89.53	28.79
20170102 10:30:01	13.637	92.14	30.14
20170102 11:00:01	15.235	92.23	32.53
20170102 11:30:00	10.833	90.13	29.54
20170102 12:00:00	10.82	89.83	25.21
20170102 12:30:00	13.854	90.88	26.30
20170102 13:00:00	13.924	91.18	28.15
20170102 13:30:01	10.813	90.61	27.18
20170102 14:00:00	14.285	87.71	26.63
20170102 14:30:00	14.885	82.50	27.86
20170102 15:00:00	11.997	88.44	27.53
20170102 15:30:00	18.181	84.68	28.14
20170102 16:00:00	11.723	84.00	28.34
20170102 16:30:00	15.204	89.93	29.79
20170102 17:00:01	11.034	90.15	28.53
20170102 17:30:00	14.432	90.52	28.64
20170102 18:00:00	15.683	89.09	30.36
20170102 18:30:00	11.05	90.83	30.00
20170102 19:00:00	13.698	89.99	28.11
20170102 19:30:00	10.66	85.11	29.15
20170102 20:00:00	26.543	80.74	26.16
20170102 20:30:01	49.542	64.09	19.15
20170102 21:00:01	34.276	68.81	25.23
20170102 21:30:01	51.625	68.45	16.67
20170102 22:00:00	19.044	64.45	19.82
20170102 22:30:00	13.897	82.45	26.27
20170102 23:00:00	10.679	91.64	30.29
20170102 23:30:00	14.072	90.06	27.56
20170103 00:00:00	10.79	91.66	25.97
20170103 00:30:00	13.684	90.83	24.60
20170103 01:00:01	10.57	92.12	28.60
20170103 01:30:00	14.828	92.01	28.87
20170103 02:00:01	10.824	89.87	27.26
20170103 02:30:00	10.512	90.90	31.31
20170103 03:00:00	10.568	90.85	30.72
20170103 03:30:01	14.095	90.15	29.43
20170103 04:00:00	13.914	90.20	30.38
20170103 04:30:00	10.729	91.16	25.94
20170103 05:00:00	14.368	88.99	27.78
20170103 05:30:00	10.677	90.40	28.26
20170103 06:00:01	10.772	91.15	27.84
20170103 06:30:00	10.78	92.27	27.62
20170103 07:00:01	14.516	92.14	23.25
20170103 07:30:00	10.631	91.50	30.62
20170103 08:00:01	10.669	92.29	26.58
20170103 08:30:00	15.429	91.34	28.03
20170103 09:00:00	10.585	90.97	30.18
20170103 09:30:00	15.306	91.28	28.36
20170103 10:00:00	11.036	88.82	29.55
20170103 10:30:00	10.589	88.29	29.64
20170103 11:00:00	11.004	82.49	27.54
20170103 11:30:01	13.72	92.04	26.17
20170103 12:00:00	10.22	85.35	30.77
20170103 12:30:00	14.805	86.49	26.50
20170103 13:00:00	10.663	88.93	28.06
20170103 13:30:00	15.27	78.35	28.49
20170103 14:00:00	14.41	88.52	26.03
20170103 14:30:01	13.949	90.20	28.72
20170103 15:00:00	10.829	89.78	28.82
20170103 15:30:00	220.189	39.14	26.69
20170103 16:00:00	11.347	87.68	28.95
20170103 16:30:00	14.657	91.02	29.25
20170103 17:00:00	12.199	91.84	30.43
20170103 17:30:00	10.053	91.75	26.97
20170103 18:00:00	10.543	92.10	32.08
20170103 18:30:00	14.016	91.02	30.88
20170103 19:00:00	10.385	88.01	27.91
20170103 19:30:01	17.62	86.33	27.89
20170103 20:00:00	10.831	74.51	19.21
20170103 20:30:00	51.449	62.73	14.33
20170103 21:00:00	130.45	43.98	14.89
20170103 21:30:00	77.37	53.29	15.87
20170103 22:00:00	128.591	42.02	11.92
20170103 22:30:00	30.481	81.10	20.75
20170103 23:00:00	43.749	78.26	17.07
20170103 23:30:00	15.346	90.38	26.41
20170104 00:00:01	10.348	89.82	31.57
20170104 00:30:00	10.591	89.01	27.59
20170104 01:00:00	10.869	90.45	30.25
20170104 01:30:00	13.244	90.66	26.54
20170104 02:00:00	10.608	89.31	30.35
20170104 02:30:01	14.287	91.22	27.99
20170104 03:00:00	10.631	91.35	26.76
20170104 03:30:00	15.196	89.01	28.14
20170104 04:00:00	10.576	90.76	31.38
20170104 04:30:00	14.491	90.58	27.02
20170104 05:00:00	14.41	90.30	29.16
20170104 05:30:00	10.553	91.31	29.05
20170104 06:00:00	14.462	91.68	25.13
20170104 06:30:00	14.848	91.73	27.13
20170104 07:00:00	13.563	91.46	27.58
20170104 07:30:00	10.598	89.84	27.50
20170104 08:00:00	14.6	90.99	23.97
20170104 08:30:00	10.843	88.42	29.01
20170104 09:00:00	28.348	86.09	27.27
20170104 09:30:00	11.004	91.81	27.79
20170104 10:00:00	10.659	90.52	30.11
20170104 10:30:01	10.688	89.12	28.55
20170104 11:00:00	14.11	89.06	28.66
20170104 11:30:00	10.936	90.97	23.63
20170104 12:00:01	10.707	90.42	30.43
20170104 12:30:00	14.43	91.96	24.72
20170104 13:00:00	10.871	91.79	30.80
20170104 13:30:00	10.616	90.22	31.89
20170104 14:00:00	10.414	90.84	26.79
20170104 14:30:00	14.008	89.32	28.73
20170104 15:00:00	13.892	91.47	29.99
20170104 15:30:00	10.662	90.83	30.18
20170104 16:00:00	14.848	91.85	28.90
20170104 16:30:00	10.567	91.79	28.82
20170104 17:00:00	14.75	90.59	30.02
20170104 17:30:00	13.764	92.27	25.24
20170104 18:00:00	14.543	90.55	25.44
20170104 18:30:00	15.476	90.63	27.96
20170104 19:00:00	10.766	91.67	27.44
20170104 19:30:00	15.046	90.57	28.18
20170104 20:00:00	10.864	90.29	27.94
20170104 20:30:00	10.971	89.21	27.61
20170104 21:00:00	14.202	89.21	28.66
20170104 21:30:00	10.067	72.37	19.87
20170104 22:00:00	14.197	85.38	30.81
20170104 22:30:00	10.549	88.97	27.17
20170104 23:00:00	15.001	92.07	26.06
20170104 23:30:00	10.779	91.39	29.78
20170105 00:00:00	15.799	90.47	29.87
20170105 00:30:00	13.882	89.39	26.39
20170105 01:00:00	10.974	91.36	29.70
20170105 01:30:00	14.266	90.00	29.08
20170105 02:00:00	10.672	90.30	29.63
20170105 02:30:01	13.726	90.70	27.17
20170105 03:00:00	13.883	90.95	28.88
20170105 03:30:00	10.788	91.48	27.84
20170105 04:00:00	13.791	92.04	27.29
20170105 04:30:00	10.657	91.38	30.40
20170105 05:00:00	15.272	92.58	28.32
20170105 05:30:00	10.489	90.89	26.96
20170105 06:00:00	10.325	89.37	29.63
20170105 06:30:00	13.881	92.02	26.27
20170105 07:00:00	97.872	90.79	26.93
20170105 07:30:00	10.974	90.83	28.85
20170105 08:00:00	14.954	89.97	28.66
20170105 08:30:01	10.766	90.31	27.44
20170105 09:00:00	14.286	91.39	30.80
20170105 09:30:00	10.35	91.56	28.23
20170105 10:00:01	17.193	88.86	24.22
20170105 10:30:00	10.673	90.90	24.51
20170105 11:00:00	15.554	92.19	28.97
20170105 11:30:00	10.657	91.71	26.54
20170105 12:00:00	10.945	91.67	29.17
20170105 12:30:00	error	error	error
20170105 13:00:01	13.773	90.71	27.40
20170105 13:30:00	error	error	error
20170105 14:00:00	14.011	91.57	27.79
20170105 14:30:00	13.85	91.24	29.30
20170105 15:00:01	13.814	91.05	29.16
20170105 15:30:00	14.992	90.41	28.03
20170105 16:00:00	14.053	91.23	25.89
20170105 16:30:00	13.621	91.69	30.10
20170105 17:00:00	13.627	89.98	27.70
20170105 17:30:00	error	error	error
20170105 18:00:00	13.801	91.50	25.69
20170105 18:30:00	14.167	90.10	29.45
20170105 19:00:00	15.401	90.12	29.83
20170105 19:30:01	13.84	89.63	27.51
20170105 20:00:00	10.811	91.27	28.73
20170105 20:30:00	13.977	90.46	28.71
20170105 21:00:00	10.169	81.21	22.10
20170105 21:30:00	15.106	73.95	26.47
20170105 22:00:00	10.898	79.90	29.61
20170105 22:30:00	14.649	83.88	29.80
20170105 23:00:00	14.01	85.62	28.14
20170105 23:30:00	12.955	90.84	28.71
20170106 00:00:00	error	error	error
20170106 00:30:01	error	error	error
20170106 01:00:00	13.673	91.87	30.69
20170106 01:30:01	10.563	93.23	29.15
20170106 02:00:00	14.821	90.44	25.30
20170106 02:30:00	14.174	90.86	30.71
20170106 03:00:00	10.667	90.18	29.19
20170106 03:30:00	15.055	92.21	28.80
20170106 04:00:00	10.52	90.95	28.96
20170106 04:30:00	14.943	90.70	28.14
20170106 05:00:01	error	error	error
20170106 05:30:00	error	error	error
20170106 06:00:01	13.088	90.28	29.98
20170106 06:30:00	14.91	91.75	28.11
20170106 07:00:01	10.882	90.13	26.05
20170106 07:30:01	13.63	89.97	26.91
20170106 08:00:00	10.223	90.31	29.97
20170106 08:30:00	14.803	89.94	30.85
20170106 09:00:00	10.98	91.31	29.72
20170106 09:30:01	14.858	91.19	28.17
20170106 10:00:01	14.532	91.60	30.92
20170106 10:30:01	14.182	90.65	26.75
20170106 11:00:00	13.981	89.98	29.13
20170106 11:30:00	error	error	error
20170106 12:00:01	error	error	error
20170106 12:30:00	14.067	90.92	28.39
20170106 13:00:00	10.999	92.68	29.80
20170106 13:30:00	10.764	91.36	28.97
20170106 14:00:00	error	error	error
20170106 14:30:00	error	error	error
20170106 15:00:00	error	error	error
20170106 15:30:00	13.096	91.46	31.11
20170106 16:00:00	10.841	90.77	29.63
20170106 16:30:00	12.758	90.49	28.41
20170106 17:00:00	10.815	92.15	28.53
20170106 17:30:00	13.458	90.97	29.73
20170106 18:00:00	10.667	89.52	30.69
20170106 18:30:00	13.695	90.68	30.31
20170106 19:00:00	13.935	91.12	29.57
20170106 19:30:00	10.944	88.38	24.49
20170106 20:00:00	error	error	error
20170106 20:30:01	error	error	error
20170106 21:00:00	error	error	error
20170106 21:30:00	13.789	90.78	28.90
20170106 22:00:00	10.967	90.22	28.83
20170106 22:30:00	error	error	error
20170106 23:00:00	14.767	88.19	27.68
20170106 23:30:00	error	error	error
20170107 00:00:00	14.431	92.06	29.17
20170107 00:30:00	16.018	88.87	29.42
20170107 01:00:01	10.885	92.42	27.48
20170107 01:30:00	15.038	89.34	31.67
20170107 02:00:01	10.65	89.46	28.52
20170107 02:30:00	13.958	93.11	31.51
20170107 03:00:00	14.154	91.77	28.66
20170107 03:30:00	13.598	89.95	29.17
20170107 04:00:00	11.018	90.97	28.16
20170107 04:30:00	15.858	91.20	26.69
20170107 05:00:00	10.537	90.98	29.97
20170107 05:30:00	16.062	90.35	28.81
20170107 06:00:01	10.148	92.07	27.45
20170107 06:30:00	14.186	88.98	27.92
20170107 07:00:00	10.662	91.60	29.63
20170107 07:30:00	16.211	87.92	31.29
20170107 08:00:00	10.543	90.43	28.37
20170107 08:30:00	11.044	89.93	27.08
20170107 09:00:00	102.599	90.44	27.96
20170107 09:30:00	10.683	89.23	25.33
20170107 10:00:00	10.717	89.93	29.25
20170107 10:30:00	14.083	89.61	27.73
20170107 11:00:00	14.385	90.98	27.89
20170107 11:30:00	9.195	89.91	31.25
20170107 12:00:00	13.039	89.13	30.10
20170107 12:30:00	10.517	91.04	27.53
20170107 13:00:01	14.567	89.17	28.34
20170107 13:30:00	14.24	91.25	24.40
20170107 14:00:01	41.079	89.75	23.42
20170107 14:30:00	10.813	90.78	27.67
20170107 15:00:01	14.211	89.93	26.69
20170107 15:30:00	10.633	84.31	27.48
20170107 16:00:00	14.601	85.59	29.58
20170107 16:30:00	11.011	90.69	29.82
20170107 17:00:00	14.551	91.36	30.33
20170107 17:30:00	10.736	91.30	24.54
20170107 18:00:00	14.892	91.69	26.79
20170107 18:30:00	10.595	91.30	26.85
20170107 19:00:00	18.331	92.17	28.99
20170107 19:30:00	10.916	89.49	28.47
20170107 20:00:00	15.115	92.00	29.45
20170107 20:30:00	11.368	87.69	30.09
20170107 21:00:00	17.345	89.01	28.67
20170107 21:30:00	10.936	88.74	26.82
20170107 22:00:00	10.842	89.94	26.77
20170107 22:30:00	10.422	90.86	28.67
20170107 23:00:01	15.131	91.79	31.51
20170107 23:30:00	10.805	92.08	28.50
20170108 00:00:00	10.949	92.30	28.54
20170108 00:30:00	10.524	91.93	29.73
20170108 01:00:01	13.998	88.93	29.11
20170108 01:30:00	14.717	80.94	26.92
20170108 02:00:01	13.285	90.47	30.35
20170108 02:30:00	10.76	91.36	28.89
20170108 03:00:01	13.692	90.45	29.04
20170108 03:30:00	10.777	90.89	28.89
20170108 04:00:00	14.133	90.55	29.53
20170108 04:30:00	10.64	91.34	29.24
20170108 05:00:00	14.503	91.66	29.61
20170108 05:30:00	10.583	91.56	27.57
20170108 06:00:01	10.56	90.85	29.10
20170108 06:30:00	13.778	92.17	29.57
20170108 07:00:00	10.56	90.52	29.62
20170108 07:30:01	13.719	90.84	29.64
20170108 08:00:00	11.033	90.81	30.61
20170108 08:30:00	14.719	92.32	27.59
20170108 09:00:01	11.084	90.51	28.04
20170108 09:30:00	13.923	88.70	27.46
20170108 10:00:00	14.233	89.28	27.73
20170108 10:30:00	14.275	92.28	29.25
20170108 11:00:00	10.218	90.99	31.96
20170108 11:30:00	14.363	90.33	28.91
20170108 12:00:00	14.356	90.68	30.19
20170108 12:30:00	14.824	91.65	28.17
20170108 13:00:01	13.965	90.29	26.74
20170108 13:30:00	10.77	90.53	29.04
20170108 14:00:00	13.693	91.30	29.04
20170108 14:30:00	13.798	91.21	29.29
20170108 15:00:00	14.065	87.67	29.16
20170108 15:30:00	10.549	90.57	30.68
20170108 16:00:00	13.912	91.25	29.16
20170108 16:30:00	15.224	90.73	30.51
20170108 17:00:00	10.867	91.51	27.23
20170108 17:30:01	14.926	89.97	25.43
20170108 18:00:00	10.575	90.39	27.34
20170108 18:30:00	10.983	91.40	27.17
20170108 19:00:00	11.291	92.86	30.54
20170108 19:30:00	14.546	91.07	28.42
20170108 20:00:00	14.244	91.16	27.60
20170108 20:30:00	10.906	91.58	31.37
20170108 21:00:01	14.359	89.55	30.02
20170108 21:30:01	14.371	87.14	27.67
20170108 22:00:00	13.613	87.30	25.17
20170108 22:30:00	20.777	81.77	28.17
20170108 23:00:00	8.357	89.84	28.75
20170108 23:30:00	11.145	91.31	29.30
20170109 00:00:01	10.003	89.87	27.84
20170109 00:30:01	14.633	91.59	27.55
20170109 01:00:00	10.955	91.07	25.75
20170109 01:30:00	13.886	91.72	28.85
20170109 02:00:00	13.883	91.66	28.82
20170109 02:30:00	13.596	90.45	27.56
20170109 03:00:00	10.533	91.10	25.54
20170109 03:30:00	14.276	90.76	27.99
20170109 04:00:00	10.384	92.13	32.09
20170109 04:30:00	13.643	91.42	26.41
20170109 05:00:00	10.633	90.54	30.10
20170109 05:30:00	15.001	90.51	28.30
20170109 06:00:00	11.025	91.08	29.76
20170109 06:30:00	14.848	91.57	27.02
20170109 07:00:00	14.314	92.63	28.42
20170109 07:30:00	13.619	91.61	26.88
20170109 08:00:00	11.062	89.31	31.51
20170109 08:30:00	13.526	89.04	27.91
20170109 09:00:00	7.553	89.21	29.20
20170109 09:30:00	11.109	88.06	26.88
20170109 10:00:00	14.319	88.77	27.84
20170109 10:30:01	11.086	90.82	30.61
20170109 11:00:00	15.473	92.45	28.83
20170109 11:30:00	10.632	91.95	25.58
20170109 12:00:00	17.556	90.74	29.13
20170109 12:30:00	11.198	91.67	26.26
20170109 13:00:00	14.958	86.60	32.70
20170109 13:30:00	14.987	90.52	28.68
20170109 14:00:00	14.59	92.23	29.32
20170109 14:30:00	14.912	91.36	26.63
20170109 15:00:00	10.262	89.78	29.58
20170109 15:30:00	13.992	92.15	29.13
20170109 16:00:00	10.766	91.53	32.43
20170109 16:30:00	15.141	91.06	28.40
20170109 17:00:00	14.68	91.36	28.87
20170109 17:30:01	11.013	91.03	28.20
20170109 18:00:00	14.747	91.78	30.16
20170109 18:30:00	10.062	90.41	27.41
20170109 19:00:00	14.395	90.32	28.84
20170109 19:30:00	14.934	90.19	28.87
20170109 20:00:00	13.08	91.96	27.64
20170109 20:30:00	13.824	80.47	24.01
20170109 21:00:00	90.165	42.12	14.64
20170109 21:30:00	72.661	59.42	12.36
20170109 22:00:00	10.61	87.58	27.96
20170109 22:30:00	10.087	88.29	27.43
20170109 23:00:00	15.289	89.29	29.60
20170109 23:30:00	14.44	89.48	23.01
20170110 00:00:00	11.011	91.74	27.99
20170110 00:30:00	15.251	92.08	29.69
20170110 01:00:00	10.694	90.82	31.31
20170110 01:30:00	14.615	90.57	30.35
20170110 02:00:00	10.637	90.44	29.11
20170110 02:30:00	16.041	89.97	27.95
20170110 03:00:00	10.574	90.99	28.83
20170110 03:30:00	16.438	90.97	28.40
20170110 04:00:00	11.042	89.56	30.01
20170110 04:30:00	15.408	90.72	29.79
20170110 05:00:00	14.127	91.58	28.07
20170110 05:30:00	10.419	91.14	29.97
20170110 06:00:00	15.38	90.12	28.01
20170110 06:30:00	10.761	89.95	30.75
20170110 07:00:00	132.728	90.58	27.26
20170110 07:30:00	10.444	91.04	27.42
20170110 08:00:01	10.393	91.05	29.65
20170110 08:30:00	14.031	89.71	28.60
20170110 09:00:00	14.841	91.57	29.78
20170110 09:30:00	11.128	90.31	25.90
20170110 10:00:00	error	error	error
20170110 10:30:00	16.996	90.75	28.26
20170110 11:00:01	15.539	91.48	28.65
20170110 11:30:00	11.048	90.94	25.98
20170110 12:00:00	15.719	91.19	27.86
20170110 12:30:00	10.909	90.62	30.61
20170110 13:00:00	130.13	88.65	27.75
20170110 13:30:00	11.222	89.81	31.16
20170110 14:00:01	15.493	87.86	29.25
20170110 14:30:00	10.801	91.57	26.17
20170110 15:00:00	15.416	90.67	29.64
20170110 15:30:00	11.354	90.94	32.67
20170110 16:00:00	10.247	91.47	30.40
20170110 16:30:00	14.399	88.96	29.73
20170110 17:00:00	10.834	91.17	25.21
20170110 17:30:00	10.822	90.20	29.15
20170110 18:00:00	10.828	90.44	30.52
20170110 18:30:00	15.436	92.65	28.49
20170110 19:00:00	10.935	91.62	29.46
20170110 19:30:00	14.993	85.45	29.41
20170110 20:00:00	10.777	88.94	24.22
20170110 20:30:00	10.529	88.82	28.29
20170110 21:00:00	21.089	81.26	29.45
20170110 21:30:00	14.87	78.47	20.30
20170110 22:00:00	57.104	73.66	20.09
20170110 22:30:00	10.56	88.78	27.78
20170110 23:00:00	10.529	90.80	26.46
20170110 23:30:00	11.043	90.54	26.02
20170111 00:00:00	15.051	91.42	29.32
20170111 00:30:00	13.666	90.93	28.94
20170111 01:00:00	14.138	90.29	27.52
20170111 01:30:00	13.779	91.77	29.02
20170111 02:00:00	10.918	90.29	29.33
20170111 02:30:00	15.168	90.95	29.81
20170111 03:00:00	11.006	91.89	27.50
20170111 03:30:00	15.075	91.57	29.14
20170111 04:00:01	10.623	91.93	30.06
20170111 04:30:00	16.423	90.79	30.26
20170111 05:00:00	10.699	89.38	26.18
20170111 05:30:00	15.294	89.72	24.30
20170111 06:00:00	15.631	91.41	29.51
20170111 06:30:00	11.036	92.21	29.96
20170111 07:00:00	10.852	92.24	29.64
20170111 07:30:00	10.765	89.40	28.91
20170111 08:00:00	14.443	91.92	28.70
20170111 08:30:00	14.471	87.38	29.90
20170111 09:00:01	10.862	91.90	27.77
20170111 09:30:00	15.574	90.51	28.96
20170111 10:00:00	10.465	92.23	28.83
20170111 10:30:00	15.139	91.94	27.83
20170111 11:00:00	15.123	92.38	29.60
20170111 11:30:00	10.655	90.85	29.14
20170111 12:00:00	14.207	91.62	26.60
20170111 12:30:00	13.737	90.42	29.80
20170111 13:00:00	15.426	89.88	26.22
20170111 13:30:00	15.843	88.80	27.54
20170111 14:00:00	10.957	91.88	26.66
20170111 14:30:00	11.017	92.07	27.92
20170111 15:00:00	14.506	90.72	28.73
20170111 15:30:00	11.003	90.21	29.50
20170111 16:00:00	16.075	92.17	30.42
20170111 16:30:00	10.986	90.72	29.50
20170111 17:00:00	16.392	90.36	27.16
20170111 17:30:00	14.942	91.19	30.45
20170111 18:00:00	11.05	92.31	29.58
20170111 18:30:00	13.95	89.93	29.16
20170111 19:00:01	15.142	90.80	32.09
20170111 19:30:00	10.944	90.53	30.70
20170111 20:00:00	10.987	90.08	31.20
20170111 20:30:00	22.911	89.60	27.99
20170111 21:00:00	24.327	68.75	17.69
20170111 21:30:00	29.944	70.19	19.02
20170111 22:00:00	11.049	89.28	26.04
20170111 22:30:00	14.747	91.31	26.53
20170111 23:00:00	14.254	91.39	28.09
20170111 23:30:00	11.106	90.61	31.51
20170112 00:00:00	14.767	90.31	31.29
20170112 00:30:00	11.098	90.04	29.46
20170112 01:00:01	15.122	90.84	26.20
20170112 01:30:00	15.153	89.88	30.03
20170112 02:00:00	14.576	91.38	26.37
20170112 02:30:00	10.773	90.77	27.87
20170112 03:00:00	10.689	91.14	25.23
20170112 03:30:00	10.804	90.31	31.35
20170112 04:00:00	14.049	92.35	30.19
20170112 04:30:00	14.117	90.31	29.86
20170112 05:00:00	11.106	91.73	30.03
20170112 05:30:00	13.655	91.86	28.68
20170112 06:00:00	10.814	90.82	28.81
20170112 06:30:00	11.075	92.29	25.17
20170112 07:00:00	10.82	92.11	29.80
20170112 07:30:00	13.953	90.45	29.39
20170112 08:00:00	15.047	89.35	30.84
20170112 08:30:00	10.526	91.04	27.67
20170112 09:00:01	14.786	91.28	31.84
20170112 09:30:00	13.754	90.62	29.42
20170112 10:00:00	10.956	91.27	30.46
20170112 10:30:00	15.547	90.29	29.70
20170112 11:00:00	14.117	89.62	27.94
20170112 11:30:00	14.353	91.32	28.76
20170112 12:00:00	11.298	90.59	25.97
20170112 12:30:00	16.906	91.59	27.84
20170112 13:00:01	11.102	90.91	24.86
20170112 13:30:00	13.904	91.41	30.49
20170112 14:00:00	13.845	88.21	29.32
